"index";"School Name";"School Type";"Starting Median Salary";"Mid-Career Median Salary";"Mid-Career 10th Percentile Salary";"Mid-Career 25th Percentile Salary";"Mid-Career 75th Percentile Salary";"Mid-Career 90th Percentile Salary";"OPEID8";"Address";"City";"State";"Zip";"schoolid";"Web";"OPEID6"
13;"Virginia Polytechnic Institute and State University";"Engineering";"$53,500.00 ";"$95,400.00 ";"$50,600.00 ";"$71,400.00 ";"$124,000.00 ";"$163,000.00 ";"00375400";"Office of the President, 210 Burruss Hall";"Blacksburg";"VA";"24601";233921.0;"www.vt.edu";3754.0
15;"New Mexico Institute of Mining and Technology";"Engineering";"$51,000.00 ";"$93,400.00 ";"";"$67,400.00 ";"$123,000.00 ";"";"00265400";"801 Leroy Place";"Socorro";"NM";"87801";187967.0;"www.nmt.edu";2654.0
16;"Rochester Institute of Technology";"Engineering";"$48,900.00 ";"$84,600.00 ";"$45,000.00 ";"$62,100.00 ";"$112,000.00 ";"$159,000.00 ";"00280600";"1 Lomb Memorial Dr";"Rochester";"NY";"14623-5603";195003.0;"www.rit.edu/";2806.0
18;"Tennessee Technological University";"Engineering";"$46,200.00 ";"$80,000.00 ";"$42,100.00 ";"$62,600.00 ";"$99,500.00 ";"$121,000.00 ";"00352300";"1 William L. Jones Drive";"Cookeville";"TN";"38505-0001";221847.0;"www.tntech.edu";3523.0
19;"University of Illinois at Urbana-Champaign";"Party";"$52,900.00 ";"$96,100.00 ";"$48,200.00 ";"$68,900.00 ";"$132,000.00 ";"$177,000.00 ";"00177500";"601 E John Street";"Champaign";"IL";"61820-5711";145637.0;"www.uiuc.edu/";1775.0
102;"University of Illinois at Urbana-Champaign";"State";"$52,900.00 ";"$96,100.00 ";"$48,200.00 ";"$68,900.00 ";"$132,000.00 ";"$177,000.00 ";"00177500";"601 E John Street";"Champaign";"IL";"61820-5711";145637.0;"www.uiuc.edu/";1775.0
24;"University of Florida";"Party";"$47,100.00 ";"$87,900.00 ";"$45,400.00 ";"$62,900.00 ";"$120,000.00 ";"$172,000.00 ";"00153500";"355 Tigert Hall";"Gainesville";"FL";"32611";134130.0;"www.ufl.edu/";1535.0
118;"University of Florida";"State";"$47,100.00 ";"$87,900.00 ";"$45,400.00 ";"$62,900.00 ";"$120,000.00 ";"$172,000.00 ";"00153500";"355 Tigert Hall";"Gainesville";"FL";"32611";134130.0;"www.ufl.edu/";1535.0
26;"University of Georgia";"Party";"$44,100.00 ";"$86,000.00 ";"$43,100.00 ";"$57,800.00 ";"$118,000.00 ";"$164,000.00 ";"00159800";"456 East Broad Street";"Athens";"GA";"30602";139959.0;"www.uga.edu";1598.0
127;"University of Georgia";"State";"$44,100.00 ";"$86,000.00 ";"$43,100.00 ";"$57,800.00 ";"$118,000.00 ";"$164,000.00 ";"00159800";"456 East Broad Street";"Athens";"GA";"30602";139959.0;"www.uga.edu";1598.0
